0x36911f9 AL_ADPCM_WAVE
0x36ac3d8 ITEM00_N_ARROW20
0x36ac3e9 ITEM00_N_ARROW50
0x36ac3fa ITEM00_N_BOMB
0x36ac408 ITEM00_N_NUTS
0x36ac416 ITEM00_N_STICK
0x36ac425 ITEM00_N_TUBOL
0x36ac434 ITEM00_N_TUBOS
0x36ac443 ITEM00_CHARACTER
0x36ac454 ITEM00_S_KEY
0x36ac461 ITEM00_N_ELF
0x36ac46e ITEM00_RUPEE_500
0x36ac47f ITEM00_RUPEE_50
0x36ac48f ITEM00_HEART_3
0x36ac49e ITEM00_SHIELD2
0x36ac4ad ITEM00_N_NUTS10
0x36ac4bd ITEM00__3
0x36ac4c7 ITEM00_BOMB2
0x36ac4d4 ITEM00_O_ELF
0x36ac4e1 ITEM00_MAP
0x36ac4ec ITEM00_KOMPAS
0x36ac4fa ITEM00_AYASII_KINOKO
0x36ac50f ITEM00_D_MODE_LAST_INDEX
0x36ac5b4 CND_DUMY
0x36ac5bd NON_ACTN
0x36ac5c6 NRM_LOOK
0x36ac5cf NCK_MOVE
0x36ac5d8 TRN_ARND
0x36ac5e1 MAX_COND
0x36ac5ea END_TALK
0x36ac5f3 NOW_TALK
0x36ac5fc ENY_CTRL
0x36ac605 END_CRRY
0x36acd33 MII_PF_I_4
0x36acd3e MII_PF_IA_4
0x36acd4a MII_PF_CI_4
0x36acd56 MII_PF_I_4_CC2
0x36acd65 MII_PF_LAST_INDEX
0x36ace77 SCENE_ID_PLAYER_PTR
0x36ace8b SCENE_ID_ACTOR_PTR
0x36ace9e SCENE_ID_CAMERA_DATA_PTR
0x36aceb7 SCENE_ID_BGCHECK_PTR
0x36acecc SCENE_ID_ROOM_ROM_ADDRESS_PTR
0x36aceea SCENE_ID_WIND_SET
0x36acefc SCENE_ID_ROOM_STATUS_PTR
0x36acf15 SCENE_ID_EXCHANGE_KEEP_BANK
0x36acf31 SCENE_ID_ROOM_TYPE
0x36acf44 SCENE_ID_SOUND_TYPE
0x36acf58 SCENE_ID_GROUND_SHAPE_STATUS_PTR
0x36acf79 SCENE_ID_OBJECT_EXCHANGE_BANK_PTR
0x36acf9b SCENE_ID_LIGHT_DATA_PTR
0x36acfb3 SCENE_ID_PATH_DATA_PTR
0x36acfca SCENE_ID_DOOR_DATA_PTR
0x36acfe1 SCENE_ID_KCOLOR_DATA_PTR
0x36acffa SCENE_ID_TIME_SET
0x36ad00c SCENE_ID_KANKYO_SCENE_TYPE
0x36ad027 SCENE_ID_KANKYO_ROOM_TYPE
0x36ad041 SCENE_ID_NEXT_SCENE_PTR
0x36ad059 SCENE_ID_END
0x36ad066 SCENE_ID_SCENE_SOUND
0x36ad07b SCENE_ID_ROOM_SOUND
0x36ad08f SCENE_ID_DEMO_DATA_PTR
0x36ad0a6 SCENE_ID_DEMO_SCENE_DATA_PTR
0x36ad0c3 SCENE_ID_SCENE_TYPE
0x36ad0d7 SCENE_ID_EVW_ANIME_PTR
0x36ad0ee SCENE_ID_EVENTMGR_PTR
0x36ad104 SCENE_ID_MAP_DISP_PTR
0x36ad11a SCENE_ID_MAP_DISP_TRE_PTR
0x36ad134 SCENE_ID_MAP_DISP_TRE2_PTR
0x36ad14f SCENE_ID_MAX
0x36ad1c1 GROUND_SHAPE_POLYGON
0x36ad1d6 GROUND_SHAPE_PRERENDER
0x36ad1ed GROUND_SHAPE_POLYGON2
0x36ad203 GROUND_SHAPE_NON
0x36ad415 Elf_Message_Non
0x36ad425 Elf_Message_Field
0x36ad437 Elf_Message_Ydan
0x36ad448 Elf_Message_Max
0x36ad800 DEMO_PLAY_MODE_NON
0x36ad813 DEMO_PLAY_MODE_START
0x36ad828 DEMO_PLAY_MODE_PROC
0x36ad83c DEMO_PLAY_MODE_END
0x36ad84f DEMO_PLAY_MODE_WAIT
0x36af110 BASIC_EVENT_OCARINA
0x36af124 BASIC_EVENT_ITEMGET
0x36af138 BASIC_EVENT_ILOOKUP
0x36af14c BASIC_EVENT_ILOOKDOWN
0x36af162 BASIC_EVENT_WARP0
0x36af174 BASIC_EVENT_TRANSFORM
0x36af18a BASIC_EVENT_DEATH
0x36af19c BASIC_EVENT_REBIRTH
0x36af1b0 BASIC_EVENT_NAVI
0x36af1c1 BASIC_EVENT_WARP1
0x36af1d3 BASIC_EVENT_MAX
0x36af9e0 EFF_BLURE_MODE_NORMAL
0x36af9f6 EFF_BLURE_MODE_ARROW_TXT
0x36afa0f EFF_BLURE_MODE_HERMITE_INTER
0x36afa2c EFF_BLURE_MODE_LAST_INDEX
0x36afb3d P_START_MODE_NON
0x36afb4e P_START_MODE_M_SWORD_END
0x36afb67 P_START_MODE_FROM_WARP
0x36afb7e P_START_MODE_DOOR_START
0x36afb96 P_START_MODE_JUMP_START
0x36afbae P_START_MODE_FROM_OKARINA_WARP
0x36afbcd P_START_MODE_FROM_MAGIC_WARP
0x36afbea P_START_MODE_DAMAGE_START
0x36afc04 P_START_MODE_FROM_DUNGEON_WARP
0x36afc23 P_START_MODE_FROM_DUNGEON_WARP_2
0x36afc44 P_START_MODE_DUMMY_10
0x36afc5a P_START_MODE_DEMO_LANDING_WAIT
0x36afc79 P_START_MODE_TELESCOPE
0x36afc90 P_START_MODE_DEMO_WAIT
0x36afca7 P_START_MODE_DEMO_RUN
0x36afcbd P_START_MODE_RUN_START
0x36afcd4 P_DEMO_PLAY_NON
0x36afce4 P_DEMO_PLAY_ANCHOR_STOP
0x36afcfc P_DEMO_PLAY_RUN_START
0x36afd12 P_DEMO_PLAY_RUN_END
0x36afd26 P_DEMO_PLAY_BIKKURI
0x36afd3a P_DEMO_PLAY_TOOL_PLAY
0x36afd50 P_DEMO_PLAY_END
0x36afd60 P_DEMO_PLAY_WAIT
0x36afd71 P_DEMO_PLAY_FURIMUKI
0x36afd86 P_DEMO_PLAY_WARP_OUT
0x36afd9b P_DEMO_PLAY_WARP_UP
0x36afdaf P_DEMO_PLAY_STANDUP
0x36afdc3 P_DEMO_PLAY_SITDOWN
0x36afdd7 P_DEMO_PLAY_LOOK_DOWN_END
0x36afdf1 P_DEMO_PLAY_FROM_WARP
0x36afe07 P_DEMO_PLAY_LOOK_ME
0x36afe1b P_DEMO_PLAY_OKARINA
0x36afe2f P_DEMO_PLAY_OKARINA_END
0x36afe47 P_DEMO_PLAY_HANG_UP_DOWN
0x36afe60 P_DEMO_PLAY_WAIT2
0x36afe72 P_DEMO_PLAY_TOOL_DEMO_WAIT
0x36afe8d P_DEMO_PLAY_MIMAWASI
0x36afea2 P_DEMO_PLAY_AFTER_OKARINA_CHILD
0x36afec2 P_DEMO_PLAY_LOOK_HAND
0x36afed8 P_DEMO_PLAY_HEAT
0x36afee9 P_DEMO_PLAY_M_SWORD_END
0x36aff01 P_DEMO_PLAY_KOUSAN
0x36aff14 P_DEMO_PLAY_GANON_ZELDA_MIRU
0x36aff31 P_DEMO_PLAY_GANON_KEN_MIRU_1
0x36aff4e P_DEMO_PLAY_GANON_KEN_MIRU_2
0x36aff6b P_DEMO_PLAY_GANON_KEN_MIRU_MODORU
0x36aff8d P_DEMO_PLAY_FUE_FURIMUKI
0x36affa6 P_DEMO_PLAY_TO_NUTS_CHANGE
0x36affc1 P_DEMO_PLAY_RAKKA
0x36affd3 P_DEMO_PLAY_PIKUPIKU
0x36affe8 P_DEMO_PLAY_OKIAGARI
0x36afffd P_DEMO_PLAY_TO_BOY_CHANGE
0x36b0017 P_DEMO_PLAY_DOWN_ROOF
0x36b002d P_DEMO_PLAY_NUTS_GIMON
0x36b0044 P_DEMO_PLAY_NUTS_HAKKEN
0x36b005c P_DEMO_PLAY_FALL_HORSE
0x36b0073 P_DEMO_PLAY_UP_LOOK_HORSE
0x36b008d P_DEMO_PLAY_FALL_HORSE_FACE_UP
0x36b00ac P_DEMO_PLAY_FALL_HORSE_STANDUP
0x36b00cb P_DEMO_PLAY_DOWN_RIDE_HORSE
0x36b00e7 P_DEMO_PLAY_FUMIHAZUSU
0x36b00fe P_DEMO_PLAY_SHIRIMOCHI
0x36b0115 P_DEMO_PLAY_MABUSHII
0x36b012a P_DEMO_PLAY_NUTS_HENSHIN
0x36b0143 P_DEMO_PLAY_JIBUNMIRU
0x36b0159 P_DEMO_PLAY_HABAMARERU
0x36b0170 P_DEMO_PLAY_URUSAINA
0x36b0185 P_DEMO_PLAY_FALL_HORSE_ROLL
0x36b01a1 P_DEMO_PLAY_EPONA_LOST
0x36b01b8 P_DEMO_PLAY_EPONA_LOST2
0x36b01d0 P_DEMO_PLAY_EPONA_LOST3
0x36b01e8 P_DEMO_PLAY_FALL_HORSE_ROLL_WAIT
0x36b0209 P_DEMO_PLAY_TOBIKAKARU
0x36b0220 P_DEMO_PLAY_SERACH_WALK
0x36b0238 P_DEMO_PLAY_LOST_OKARINA
0x36b0251 P_DEMO_PLAY_FURAFURA
0x36b0266 P_DEMO_PLAY_IYAIYA_RUN
0x36b027d P_DEMO_PLAY_ONONOKI
0x36b0291 P_DEMO_PLAY_GAKU
0x36b02a2 P_DEMO_PLAY_FUWAFUWA
0x36b02b7 P_DEMO_PLAY_FUWAFUWA_MODORU
0x36b02d3 P_DEMO_PLAY_IZUMI
0x36b02e5 P_DEMO_PLAY_GET_ITEM
0x36b02fa P_DEMO_PLAY_GAKKI_PLAY
0x36b0311 P_DEMO_PLAY_GAKKI_END
0x36b0327 P_DEMO_PLAY_TEWOFURU
0x36b033c P_DEMO_PLAY_HOTTOSURU_WAIT
0x36b0357 P_DEMO_PLAY_HOTTOSURU
0x36b036d P_DEMO_PLAY_YAREYARE
0x36b0382 P_DEMO_PLAY_YES
0x36b0392 P_DEMO_PLAY_NO
0x36b03a1 P_DEMO_PLAY_UNUN
0x36b03b2 P_DEMO_PLAY_YUSABURU
0x36b03c7 P_DEMO_PLAY_KOKERU
0x36b03da P_DEMO_PLAY_POWERUP
0x36b03ee P_DEMO_PLAY_RAKKATYU
0x36b0403 P_DEMO_PLAY_MIAGERU
0x36b0417 P_DEMO_PLAY_YURAYURA
0x36b042c P_DEMO_PLAY_SOMUKERU
0x36b0441 P_DEMO_PLAY_FUKITOBU
0x36b0456 P_DEMO_PLAY_GABA
0x36b0467 P_DEMO_PLAY_TERERU
0x36b047a P_DEMO_PLAY_DENJYU
0x36b048d P_DEMO_PLAY_KAITENMISS
0x36b04a4 P_DEMO_PLAY_FUKKINLOW
0x36b04ba P_DEMO_PLAY_FUKKINHIGH
0x36b04d1 P_DEMO_PLAY_USAGITOBI
0x36b04e7 P_DEMO_PLAY_UDETATE
0x36b04fb P_DEMO_PLAY_NOW_ANIME_PLAY
0x36b0516 P_DEMO_PLAY_OZIGI
0x36b0528 P_DEMO_PLAY_OZIGI_WAIT
0x36b053f P_DEMO_PLAY_BIG_DOWN
0x36b0554 P_DEMO_PLAY_POST_PUT
0x36b0569 P_DEMO_PLAY_MASK_OFF
0x36b057e P_DEMO_PLAY_KUBISIME
0x36b0593 P_DEMO_PLAY_EE
0x36b05a2 P_DEMO_PLAY_OKORU
0x36b05b4 P_DEMO_PLAY_PUT_ITEM
0x36b05c9 P_DEMO_PLAY_STONE_SET
0x36b05df P_DEMO_PLAY_DAKISIME
0x36b05f4 P_DEMO_PLAY_OMENMISERU
0x36b060b P_DEMO_PLAY_DAKIAU
0x36b061e P_DEMO_PLAY_HANARERU
0x36b0633 P_DEMO_PLAY_OMENMISEAU
0x36b064a P_DEMO_PLAY_OMENAWASERU
0x36b0662 P_DEMO_PLAY_TETUNAGU
0x36b0677 P_DEMO_PLAY_KEIREI
0x36b068a P_DEMO_PLAY_UMANORU
0x36b069e P_DEMO_PLAY_WAKARE
0x36b06b1 P_DEMO_PLAY_ODORU
0x36b06c3 P_DEMO_PLAY_GOMA_FURIMUKI
0x36b06dd P_DEMO_PLAY_HORSE_RUN
0x36b06f3 P_DEMO_PLAY_KAOAGE
0x36b0706 P_DEMO_PLAY_SUWARI1
0x36b071a P_DEMO_PLAY_SUWARI2
0x36b072e P_DEMO_PLAY_SUWARI3
0x36b0742 P_DEMO_PLAY_CHOKOTTO_WALK
0x36b075c P_DEMO_PLAY_SMILE_RUN_START
0x36b0778 P_DEMO_PLAY_FIGHTER_WAIT
0x36b0791 P_DEMO_PLAY_CARRY_WAIT_STONE_1
0x36b07b0 P_DEMO_PLAY_CARRY_STONE_1
0x36b07ca P_DEMO_PLAY_CARRY_END_STONE_1
0x36b07e8 P_DEMO_PLAY_GURAD
0x36b07fa P_DEMO_PLAY_SITA
0x36b080b P_DEMO_PLAY_1KYORO
0x36b081e P_DEMO_PLAY_2KYORO
0x36b0831 P_DEMO_PLAY_SAGARU
0x36b0844 P_DEMO_PLAY_BOUZEN
0x36b0857 P_DEMO_PLAY_KAMAERU
0x36b086b P_DEMO_PLAY_HAJIKARERU
0x36b0882 P_DEMO_PLAY_KEN_MIRU
0x36b0897 P_DEMO_PLAY_MUKINAORU
0x36b08ad P_DEMO_PLAY_M_SWORD_CATCH
0x36b08c7 P_DEMO_PLAY_GANON_LAST_1
0x36b08e0 P_DEMO_PLAY_GANON_LAST_2
0x36b08f9 P_DEMO_PLAY_MAX
0x36b093f DOOR_OPEN_FLAG_OFF
0x36b0952 DOOR_OPEN_FLAG_NORMAL
0x36b0968 DOOR_OPEN_FLAG_SHUTTER
0x36b097f DOOR_OPEN_FLAG_KILLER
0x36b0995 DOOR_OPEN_FLAG_SPIRAL
0x36b09ab DOOR_OPEN_FLAG_AUTO
0x36b0a03 PLAYER_ABILITY_SHIELD_NON
0x36b0a1d PLAYER_ABILITY_SHIELD_HYRAL
0x36b0a39 PLAYER_ABILITY_SHIELD_MIRROR
0x36b0a56 PLAYER_ABILITY_A_ITEM_NON
0x36b0a70 PLAYER_ABILITY_A_ITEM_M_SWORD_DEMO
0x36b0a93 PLAYER_ABILITY_A_ITEM_FISHING_ROD
0x36b0ab5 PLAYER_ABILITY_A_ITEM_MINISWORD
0x36b0ad5 PLAYER_ABILITY_A_ITEM_MINISWORD2
0x36b0af6 PLAYER_ABILITY_A_ITEM_SWORD
0x36b0b12 PLAYER_ABILITY_A_ITEM_LONGSWORD
0x36b0b32 PLAYER_ABILITY_A_ITEM_STICK
0x36b0b4e PLAYER_ABILITY_A_ITEM_HIRE
0x36b0b69 PLAYER_ABILITY_A_ITEM_BOW
0x36b0b83 PLAYER_ABILITY_A_ITEM_FIRE_BOW
0x36b0ba2 PLAYER_ABILITY_A_ITEM_ICE_BOW
0x36b0bc0 PLAYER_ABILITY_A_ITEM_LIGHT_BOW
0x36b0be0 PLAYER_ABILITY_A_ITEM_HOOK2
0x36b0bfc PLAYER_ABILITY_A_ITEM_BOMB
0x36b0c17 PLAYER_ABILITY_A_ITEM_BIGBOMB
0x36b0c35 PLAYER_ABILITY_A_ITEM_BOMCHU
0x36b0c52 PLAYER_ABILITY_A_ITEM_BOOM
0x36b0c6d PLAYER_ABILITY_A_ITEM_MAGIC_NATSU
0x36b0c8f PLAYER_ABILITY_A_ITEM_CAMERA
0x36b0cac PLAYER_ABILITY_A_ITEM_OKARINA
0x36b0cca PLAYER_ABILITY_A_ITEM_BOTTLE
0x36b0ce7 PLAYER_ABILITY_A_ITEM_BOTTLE_FISH
0x36b0d09 PLAYER_ABILITY_A_ITEM_BOTTLE_WATER
0x36b0d2c PLAYER_ABILITY_A_ITEM_BOTTLE_HOT_WATER
0x36b0d53 PLAYER_ABILITY_A_ITEM_BOTTLE_ZORA_EGG
0x36b0d79 PLAYER_ABILITY_A_ITEM_BOTTLE_DEKU_PRINCESS
0x36b0da4 PLAYER_ABILITY_A_ITEM_BOTTLE_GOLD_DUST
0x36b0dcb PLAYER_ABILITY_A_ITEM_BOTTLE_FROG
0x36b0ded PLAYER_ABILITY_A_ITEM_BOTTLE_SEA_HORSE
0x36b0e14 PLAYER_ABILITY_A_ITEM_BOTTLE_KINOKO
0x36b0e38 PLAYER_ABILITY_A_ITEM_BOTTLE_LOACH
0x36b0e5b PLAYER_ABILITY_A_ITEM_BOTTLE_BUG
0x36b0e7c PLAYER_ABILITY_A_ITEM_BOTTLE_POH
0x36b0e9d PLAYER_ABILITY_A_ITEM_BOTTLE_BIGPOH
0x36b0ec1 PLAYER_ABILITY_A_ITEM_BOTTLE_RED
0x36b0ee2 PLAYER_ABILITY_A_ITEM_BOTTLE_BLUE
0x36b0f04 PLAYER_ABILITY_A_ITEM_BOTTLE_GREEN
0x36b0f27 PLAYER_ABILITY_A_ITEM_BOTTLE_MILK
0x36b0f49 PLAYER_ABILITY_A_ITEM_BOTTLE_HALF_MILK
0x36b0f70 PLAYER_ABILITY_A_ITEM_BOTTLE_SYATOUROMANY
0x36b0f9a PLAYER_ABILITY_A_ITEM_BOTTLE_ELF
0x36b0fbb PLAYER_ABILITY_A_ITEM_MOON_STONE
0x36b0fdc PLAYER_ABILITY_A_ITEM_KENRISYO
0x36b0ffb PLAYER_ABILITY_A_ITEM_HOTEL_KEY
0x36b101b PLAYER_ABILITY_A_ITEM_KERFAY_LETTER
0x36b103f PLAYER_ABILITY_A_ITEM_BEAN
0x36b105a PLAYER_ABILITY_A_ITEM_NUMA_KENRISYO
0x36b107e PLAYER_ABILITY_A_ITEM_YAMA_KENRISYO
0x36b10a2 PLAYER_ABILITY_A_ITEM_UMI_KENRISYO
0x36b10c5 PLAYER_ABILITY_A_ITEM_AYASHII_KINOKO
0x36b10ea PLAYER_ABILITY_A_ITEM_SOKUTATU
0x36b1109 PLAYER_ABILITY_A_ITEM_NOKOGIRI
0x36b1128 PLAYER_ABILITY_A_ITEM_BREAKE_GORON_SWORD
0x36b1151 PLAYER_ABILITY_A_ITEM_PENDANT
0x36b116f PLAYER_ABILITY_A_ITEM_MEDAMA_FROG
0x36b1191 PLAYER_ABILITY_A_ITEM_EYES_DRUG
0x36b11b1 PLAYER_ABILITY_A_ITEM_GORON_SWORD_CARD
0x36b11d8 PLAYER_ABILITY_A_ITEM_MASK_TRUTH
0x36b11f9 PLAYER_ABILITY_A_ITEM_MASK_KERFAY
0x36b121b PLAYER_ABILITY_A_ITEM_MASK_YOFUKASI
0x36b123f PLAYER_ABILITY_A_ITEM_MASK_RABIT
0x36b1260 PLAYER_ABILITY_A_ITEM_MASK_KI_TAN
0x36b1282 PLAYER_ABILITY_A_ITEM_MASK_JSON
0x36b12a2 PLAYER_ABILITY_A_ITEM_MASK_ROMERNY
0x36b12c5 PLAYER_ABILITY_A_ITEM_MASK_ZACHO
0x36b12e6 PLAYER_ABILITY_A_ITEM_MASK_POSTHAT
0x36b1309 PLAYER_ABILITY_A_ITEM_MASK_MEOTO
0x36b132a PLAYER_ABILITY_A_ITEM_MASK_BIGELF
0x36b134c PLAYER_ABILITY_A_ITEM_MASK_GIBUDO
0x36b136e PLAYER_ABILITY_A_ITEM_MASK_GE_RO
0x36b138f PLAYER_ABILITY_A_ITEM_MASK_DANCER
0x36b13b1 PLAYER_ABILITY_A_ITEM_MASK_SKJ
0x36b13d0 PLAYER_ABILITY_A_ITEM_MASK_STONE
0x36b13f1 PLAYER_ABILITY_A_ITEM_MASK_BREE
0x36b1411 PLAYER_ABILITY_A_ITEM_MASK_BAKURETU
0x36b1435 PLAYER_ABILITY_A_ITEM_MASK_BU_SAN
0x36b1457 PLAYER_ABILITY_A_ITEM_MASK_GIANT
0x36b1478 PLAYER_ABILITY_A_ITEM_MASK_BOY
0x36b1497 PLAYER_ABILITY_A_ITEM_MASK_GOLON
0x36b14b8 PLAYER_ABILITY_A_ITEM_MASK_ZOLA
0x36b14d8 PLAYER_ABILITY_A_ITEM_MASK_NUTS
0x36b14f8 PLAYER_ABILITY_A_ITEM_MAGIC_GRASS
0x36b151a PLAYER_ABILITY_A_ITEM_MAX
0x36b1534 PERFO_NORMAL_BOOTS
0x36b1547 PERFO_CHILD_BOOTS
0x36b1559 PERFO_BIG_CHILD_BOOTS
0x36b156f PERFO_NUTS_BOOTS
0x36b1580 PERFO_ZORA_BOOTS
0x36b1591 PERFO_HEAVY_BOOTS
0x36b15a3 PERFO_GORON_BOOTS
0x36b15b5 PERFO_WATER_GORON_BOOTS
0x36b15cd PERFO_MAX
0x36b15d7 PC_BOY
0x36b15de PC_GORON
0x36b15e7 PC_ZORA
0x36b15ef PC_NUTS
0x36b15f7 PC_CHILD
0x36b1600 PC_MAX
0x36b16e4 PLAYER_MASK_NON
0x36b16f4 PLAYER_MASK_TRUTH
0x36b1706 PLAYER_MASK_KERFAY
0x36b1719 PLAYER_MASK_YOFUKASI
0x36b172e PLAYER_MASK_RABIT
0x36b1740 PLAYER_MASK_KI_TAN
0x36b1753 PLAYER_MASK_JSON
0x36b1764 PLAYER_MASK_ROMERNY
0x36b1778 PLAYER_MASK_ZACHO
0x36b178a PLAYER_MASK_POSTHAT
0x36b179e PLAYER_MASK_MEOTO
0x36b17b0 PLAYER_MASK_BIGELF
0x36b17c3 PLAYER_MASK_GIBUDO
0x36b17d6 PLAYER_MASK_GE_RO
0x36b17e8 PLAYER_MASK_DANCER
0x36b17fb PLAYER_MASK_SKJ
0x36b180b PLAYER_MASK_STONE
0x36b181d PLAYER_MASK_BREE
0x36b182e PLAYER_MASK_BAKURETU
0x36b1843 PLAYER_MASK_BU_SAN
0x36b1856 PLAYER_MASK_GIANT
0x36b1868 PLAYER_MASK_BOY
0x36b1878 PLAYER_MASK_GOLON
0x36b188a PLAYER_MASK_ZOLA
0x36b189b PLAYER_MASK_NUTS
0x36b18ac PLAYER_MASK_MAX
0x36b18f2 SHAPE_BLURE_TYPE_NON
0x36b1907 SHAPE_BLURE_TYPE_GORON_STONE
0x36b1924 SHAPE_BLURE_TYPE_GORON_STONE_ALL
0x36b1945 SHAPE_BLURE_TYPE_GORON_PUNCH
0x36b1962 SHAPE_BLURE_TYPE_MAX
0x36b1e1f LINK_PARTS_WAIST
0x36b1e30 LINK_PARTS_R_LEG_A
0x36b1e43 LINK_PARTS_R_LEG_B
0x36b1e56 LINK_PARTS_R_FOOT
0x36b1e68 LINK_PARTS_L_LEG_A
0x36b1e7b LINK_PARTS_L_LEG_B
0x36b1e8e LINK_PARTS_L_FOOT
0x36b1ea0 LINK_PARTS_HEAD
0x36b1eb0 LINK_PARTS_HAT
0x36b1ebf LINK_PARTS_COLLAR
0x36b1ed1 LINK_PARTS_L_ARM_A
0x36b1ee4 LINK_PARTS_L_ARM_B
0x36b1ef7 LINK_PARTS_L_HAND
0x36b1f09 LINK_PARTS_R_ARM_A
0x36b1f1c LINK_PARTS_R_ARM_B
0x36b1f2f LINK_PARTS_R_HAND
0x36b1f41 LINK_PARTS_CARRY
0x36b1f52 LINK_PARTS_CHEST1
0x36b1f64 LINK_PARTS_MAX
0x36b1f73 POWER_DAMAGE_TYPE_NON
0x36b1f89 POWER_DAMAGE_TYPE_MINI
0x36b1fa0 POWER_DAMAGE_TYPE_JUMP
0x36b1fb7 POWER_DAMAGE_TYPE_BIG
0x36b1fcd POWER_DAMAGE_TYPE_ELEC
0x36b1fe4 POWER_DAMAGE_TYPE_MAX
0x36b1ffa FISHING_MODE_NON
0x36b200b FISHING_MODE_THROW
0x36b201e FISHING_MODE_FIGHT
0x36b2031 FISHING_MODE_CATCH
0x36b2044 GORON_MODE_START
0x36b2055 GORON_MODE_JUMP
0x36b2065 GORON_MODE_LANDING
0x36b2078 GORON_MODE_REBOUND
0x36b208b GORON_MODE_NORMAL
0x36b20d4 L_LHAND_MODEL
0x36b20e2 L_LHANDG_MODEL
0x36b20f1 L_MIDDLE_SWORD_MODEL
0x36b2106 L_LONGSWORD_MODEL
0x36b2118 L_BOOMHAND_MODEL
0x36b2129 L_BOTTLE_HAND_MODEL
0x36b213d L_RHAND_MODEL
0x36b214b L_RHANDG_MODEL
0x36b215a L_RSHIELDHAND_MODEL
0x36b216e L_BOW_RHAND_MODEL
0x36b2180 L_OKARIHAND_MODEL
0x36b2192 L_HOOK_HAND_MODEL
